time,symbol,fundingRate,exchange
2023-02-10 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-10 00:00:00.012,SOLUSDT,0.0001,Binance
2023-02-10 08:00:00.000,SOLUSDT,8.06e-05,Bybit
2023-02-10 08:00:00.005,SOLUSDT,-0.0001841,Binance
2023-02-10 16:00:00.000,SOLUSDT,-4.266e-05,Bybit
2023-02-10 16:00:00.020,SOLUSDT,-0.00011823,Binance
2023-02-11 00:00:00.000,SOLUSDT,3.401e-05,Bybit
2023-02-11 00:00:00.007,SOLUSDT,-0.00020422,Binance
2023-02-11 08:00:00.000,SOLUSDT,-4.716e-05,Bybit
2023-02-11 08:00:00.002,SOLUSDT,-7.827e-05,Binance
2023-02-11 16:00:00.000,SOLUSDT,4.998e-05,Bybit
2023-02-11 16:00:00.021,SOLUSDT,-0.00029396,Binance
2023-02-12 00:00:00.000,SOLUSDT,-0.00025367,Bybit
2023-02-12 00:00:00.004,SOLUSDT,-0.00043025,Binance
2023-02-12 08:00:00.000,SOLUSDT,-0.00046512,Bybit
2023-02-12 08:00:00.000,SOLUSDT,-0.00045565,Binance
2023-02-12 16:00:00.000,SOLUSDT,-0.00028808,Bybit
2023-02-12 16:00:00.002,SOLUSDT,-0.00025702,Binance
2023-02-13 00:00:00.000,SOLUSDT,-0.00026708,Bybit
2023-02-13 00:00:00.006,SOLUSDT,-0.00021151,Binance
2023-02-13 08:00:00.000,SOLUSDT,-0.00013694,Bybit
2023-02-13 08:00:00.008,SOLUSDT,-0.00021904,Binance
2023-02-13 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-13 16:00:00.002,SOLUSDT,0.0001,Binance
2023-02-14 00:00:00.000,SOLUSDT,-2.017e-05,Bybit
2023-02-14 00:00:00.013,SOLUSDT,-0.00020755,Binance
2023-02-14 08:00:00.000,SOLUSDT,-0.00013888,Bybit
2023-02-14 08:00:00.014,SOLUSDT,-0.00022864,Binance
2023-02-14 16:00:00.000,SOLUSDT,6.544e-05,Bybit
